vehicle_id,vehicle_type,speed,frame_number,timestamp
136,bus,0,125,2026-01-14 21:54:17
137,car,0,125,2026-01-14 21:54:17
138,car,0,125,2026-01-14 21:54:17
139,car,0,126,2026-01-14 21:54:17
140,car,0,127,2026-01-14 21:54:17
141,truck,0,127,2026-01-14 21:54:17
142,car,0,128,2026-01-14 21:54:17
143,car,0,128,2026-01-14 21:54:17
144,car,0,129,2026-01-14 21:54:17
145,car,0,131,2026-01-14 21:54:17
146,truck,0,132,2026-01-14 21:54:18
147,car,0,132,2026-01-14 21:54:18
148,car,0,133,2026-01-14 21:54:18
149,car,0,133,2026-01-14 21:54:18
150,bus,0,134,2026-01-14 21:54:18
151,car,0,137,2026-01-14 21:54:18
152,car,0,137,2026-01-14 21:54:18
153,bus,0,137,2026-01-14 21:54:18
154,car,0,138,2026-01-14 21:54:18
155,truck,0,139,2026-01-14 21:54:18
156,car,0,139,2026-01-14 21:54:18
157,car,0,139,2026-01-14 21:54:18
158,car,0,140,2026-01-14 21:54:19
159,bus,0,141,2026-01-14 21:54:19
160,car,0,141,2026-01-14 21:54:19
161,car,0,142,2026-01-14 21:54:19
162,truck,0,144,2026-01-14 21:54:19
163,truck,0,145,2026-01-14 21:54:19
164,car,0,145,2026-01-14 21:54:19
165,car,0,146,2026-01-14 21:54:19
166,car,0,146,2026-01-14 21:54:19
167,car,0,147,2026-01-14 21:54:19
168,car,0,147,2026-01-14 21:54:19
169,car,0,147,2026-01-14 21:54:19
170,car,0,148,2026-01-14 21:54:19
171,car,0,148,2026-01-14 21:54:19
172,car,0,151,2026-01-14 21:54:20
173,truck,0,152,2026-01-14 21:54:20
174,car,0,153,2026-01-14 21:54:20
175,car,0,153,2026-01-14 21:54:20
176,car,0,153,2026-01-14 21:54:20
177,car,0,153,2026-01-14 21:54:20
178,car,0,153,2026-01-14 21:54:20
179,car,0,155,2026-01-14 21:54:20
180,car,0,155,2026-01-14 21:54:20
181,car,0,155,2026-01-14 21:54:20
182,car,0,155,2026-01-14 21:54:20
183,car,0,155,2026-01-14 21:54:20
184,car,0,155,2026-01-14 21:54:20
185,car,0,155,2026-01-14 21:54:20
186,car,0,155,2026-01-14 21:54:20
187,car,0,156,2026-01-14 21:54:20
188,car,0,156,2026-01-14 21:54:20
189,bus,0,156,2026-01-14 21:54:20
190,car,0,156,2026-01-14 21:54:20
191,car,0,157,2026-01-14 21:54:21
192,car,0,157,2026-01-14 21:54:21
193,car,0,157,2026-01-14 21:54:21
194,bus,0,158,2026-01-14 21:54:21
195,car,0,158,2026-01-14 21:54:21
196,car,0,158,2026-01-14 21:54:21
197,truck,0,159,2026-01-14 21:54:21
198,car,0,160,2026-01-14 21:54:21
199,car,0,160,2026-01-14 21:54:21
200,car,0,161,2026-01-14 21:54:21
201,car,0,161,2026-01-14 21:54:21
202,car,0,161,2026-01-14 21:54:21
203,car,0,161,2026-01-14 21:54:21
204,car,0,161,2026-01-14 21:54:21
205,car,0,161,2026-01-14 21:54:21
206,car,0,161,2026-01-14 21:54:21
207,car,0,161,2026-01-14 21:54:21
208,car,0,161,2026-01-14 21:54:21
209,car,0,162,2026-01-14 21:54:21
210,car,0,162,2026-01-14 21:54:21
211,car,0,162,2026-01-14 21:54:21
212,car,0,162,2026-01-14 21:54:21
213,car,0,162,2026-01-14 21:54:21
214,car,0,162,2026-01-14 21:54:21
215,car,0,163,2026-01-14 21:54:21
216,car,0,163,2026-01-14 21:54:21
217,car,0,164,2026-01-14 21:54:21
218,car,0,164,2026-01-14 21:54:21
219,car,0,164,2026-01-14 21:54:21
220,car,0,165,2026-01-14 21:54:22
221,car,0,165,2026-01-14 21:54:22
222,car,0,166,2026-01-14 21:54:22
223,car,0,166,2026-01-14 21:54:22
224,car,0,166,2026-01-14 21:54:22
225,car,0,166,2026-01-14 21:54:22
226,car,0,166,2026-01-14 21:54:22
227,car,0,166,2026-01-14 21:54:22
228,car,0,167,2026-01-14 21:54:22
229,car,0,167,2026-01-14 21:54:22
230,car,0,167,2026-01-14 21:54:22
231,car,0,167,2026-01-14 21:54:22
232,car,0,167,2026-01-14 21:54:22
233,car,0,167,2026-01-14 21:54:22
234,car,0,168,2026-01-14 21:54:22
235,car,0,168,2026-01-14 21:54:22
236,car,0,168,2026-01-14 21:54:22
237,car,0,169,2026-01-14 21:54:22
238,car,0,170,2026-01-14 21:54:22
239,car,0,172,2026-01-14 21:54:22
240,bus,0,173,2026-01-14 21:54:23
241,car,0,173,2026-01-14 21:54:23
242,car,0,173,2026-01-14 21:54:23
243,car,0,173,2026-01-14 21:54:23
244,car,0,175,2026-01-14 21:54:23
